"Destination","Lat","Long"
"ATL","33.636699676514","-84.428100585938"
"DTW","42.212398529053","-83.353401184082"
"SLC","40.7608","111.891"
"LGA","40.7769","73.874"
"MSP","44.8819999695","-93.2218017578"
"CYG","39.0488014221","-84.6678009033"
"LAX","33.94250107","-118.4079971"
"BHM","33.56290054","-86.75350189"
"HSV","34.637199401855","-86.775100708008"
"TPA","27.975500106811","-82.533203125"
"MIA","25.793199539185","-80.290603637695"
"DEN","39.8561","104.6737"
"FLL","26.072599411011","-80.152702331543"
"RSW","26.5337","81.7553"
"PBI","26.683200836182","-80.095596313477"
"MCO","28.429399490356","-81.30899810791"
"DFW","32.896800994873","-97.03800201416"
"CMH","39.998001098633","-82.891899108887"
"MSY","29.993400573731","-90.258003234863"
"SRQ","27.3877","82.5535"
"BUF","42.94049835","-78.73220062"
"BOS","42.36429977","-71.00520325"
"RDU","35.877601623535","-78.787498474121"
"IND","39.7173","-86.294403"
"CVG","39.0488014221","-84.6678009033"
"MKE ","42.947200775146","-87.896598815918"
"CLT ","35.214000701904","-80.943099975586"
"CLE","41.4117012024","-81.8498001099"
"BNA","36.124500274658","-86.678199768066"
"CHS","32.89860153","-80.04049683"
"PWM","43.64619827","-70.30930328"
"GRR","42.88079834","-85.52279663"
"MCI","39.2976","-94.713898"
"PIT","40.49150085","-80.23290253"
"IAH","29.984399795532","-95.341400146484"
"OMA","41.303199768066","-95.894096374512"
"SDF","38.1757","85.7369"
"BZN","45.77750015","-111.1529999"
"GSO","36.097801208496","-79.937301635742"
"ORF","36.8956837","-76.2000161"
"LEX","38.036499023438","-84.605903625488"
"ROC","43.118900299072","-77.672401428223"
"SBN","41.708698272705","-86.31729888916"
"ORD","41.97859955","-87.90480042"
"MYR","33.6796989441","-78.9282989502"
"GSP","34.8956985474","-82.2189025879"
"FAR","46.920700073242","-96.815803527832"
"JFK","40.63980103","-73.77890015"
